uuid,adm4_pcode,date,college_nearest,community_centre_nearest,school_nearest,shelter_nearest,town_hall_nearest,university_nearest,location1.adm4_en,location1.brgy_total_area
osmpa001d54,ph063022068,01/01/2022,1799.433798,2542.262803,177.8536148,814.3381601,2319.522341,2353.348536,Hinactacan,1.9748
osmpa001d53,ph063022018,01/01/2022,864.6171266,1529.755984,86.43114764,773.1495222,675.5708752,954.3054131,Benedicto (Jaro),0.1725
osmpa001d52,ph063022048,01/01/2022,2837.098479,217.5804495,156.8698425,2132.80967,245.6597346,2934.543822,Dulonan,0.6855
osmpa001d51,ph063022112,01/01/2022,0,528.6020783,0,1315.22479,950.5065826,325.7727534,Montinola,0.1257
osmpa001d50,ph063022119,01/01/2022,1029.469293,95.54642683,96.29381348,342.3589795,910.431764,1049.311954,North San Jose,0.1353
osmpa001de8,ph063022090,01/01/2022,156.6831937,332.3379604,263.5928716,375.3587397,173.5691259,818.0083321,Liberation,0.0489
osmpa001d62,ph063022063,01/01/2022,293.2360543,342.1582958,66.39345837,1638.064163,1243.552705,221.7655044,Gustilo,0.1149
osmpa001d63,ph063022148,01/01/2022,153.1865379,0,0,0,137.2467364,495.2807088,San Agustin,0.189
osmpa001d4f,ph063022175,01/01/2022,346.4049969,750.4234006,0,826.8584155,1031.982465,1065.49519,Tabuc Suba (Jaro),1.2941
osmpa001d65,ph063022165,01/01/2022,255.2589841,893.1759675,211.8325509,155.2689154,412.2472012,1967.200026,Santa Rosa,0.3812
osmpa001d64,ph063022155,01/01/2022,3088.474248,0,0,2223.604577,73.31849063,3134.771064,San Jose (Arevalo),0.6191
osmpa001de5,ph063022096,01/01/2022,648.5436753,114.7198595,3.072658686,1507.12007,718.4283901,480.0620246,Lopez Jaena Sur,0.2285
osmpa001de4,ph063022136,01/01/2022,699.8179763,1007.973382,425.1068421,633.3600615,290.664761,1212.510178,Rima-Rizal,0.0141
osmpa001de3,ph063022047,01/01/2022,814.139256,205.5256836,208.1417091,1416.696373,266.6499972,1046.664262,Don Esteban-Lapuz,0.2527
osmpa001de2,ph063022191,01/01/2022,612.1675558,931.8551942,498.6960591,1371.426305,1284.15135,801.7068356,West Habog-Habog,0.0667
osmpa001de1,ph063022113,01/01/2022,828.585805,1053.264805,97.07467623,350.2720052,389.5699517,1747.389313,Muelle Loney-Montes,0.0873
osmpa001de0,ph063022140,01/01/2022,262.0086622,602.5048642,331.3437559,663.7842206,223.0930895,1008.81644,Roxas Village,0.0382
osmpa001ddf,ph063022028,01/01/2022,999.4600486,1586.314768,44.95485505,722.1168361,335.3011164,1238.599607,Seminario (Burgos Jalandoni),0.0489
osmpa001dde,ph063022026,01/01/2022,2799.617426,5175.3255,273.7053047,701.4473923,0,5685.02429,Buntatala,1.5114
osmpa001ddd,ph063022016,01/01/2022,1545.320922,1927.066568,0,745.7820543,2729.938223,1655.420658,Banuyao,0.5619
osmpa001de6,ph063022089,01/01/2022,822.3412377,721.2583748,425.2013009,942.7529634,103.4035994,1636.663453,Legaspi Dela Rama,0.1168
osmpa001ddb,ph063022193,01/01/2022,324.3346396,619.8990577,8.513938222,740.4311833,287.0561081,1292.543357,Yulo-Arroyo,0.0373
osmpa001dda,ph063022078,01/01/2022,822.8744273,1667.705202,179.6803928,468.8072069,27.71130009,1489.000414,Calubihan,0.0345
osmpa001dd9,ph063022008,01/01/2022,939.4487919,146.2159122,0,603.1812773,629.5503116,988.8548371,North Avanceña,0.0975
osmpa001d6a,ph063022172,01/01/2022,498.3541388,1033.700075,458.1309704,1441.252054,1216.546628,702.0740083,South Baluarte,0.0967
osmpa001d69,ph063022102,01/01/2022,275.9486206,640.3837883,43.12966271,497.2345238,22.59993245,1327.968332,Magsaysay,0.0723
osmpa001d68,ph063022131,01/01/2022,26.34494523,468.4573531,25.95331788,577.5523644,0,497.0972074,President Roxas,0.1974
osmpa001d67,ph063022012,01/01/2022,976.8711846,494.1703891,261.2529999,1901.825391,1034.761452,829.7949728,Baldoza,0.3225
osmpa001d66,ph063022032,01/01/2022,1530.310101,1133.462277,0,1598.552599,337.6523856,1672.180639,Calumpang,0.8811
osmpa001ddc,ph063022006,01/01/2022,207.6986853,872.3377423,153.1608125,384.9287881,737.0672387,1484.340545,Arguelles,0.1224
osmpa000eec,ph063022179,01/01/2021,1913.643415,4255.343857,0,718.8051076,0,5095.125538,Tagbac,1.3724
osmpa000eed,ph063022054,01/01/2021,11.83687186,332.4723928,0,836.3981758,309.5026931,988.5010362,Edganzon,0.1033
osmpa000eee,ph063022092,01/01/2021,554.8972368,553.3267518,238.7901259,1168.852374,0,1370.429642,Libertad-Lapuz,0.0383
osmpa000ef2,ph063022134,01/01/2021,3556.483623,0,0,2919.760463,161.7150316,3649.533467,Quezon,0.1627
osmpa000ef0,ph063022085,01/01/2021,190.5389452,8.629549708,0,1868.052754,640.2786215,348.0989287,Laguda,0.0537
osmpa000ef1,ph063022160,01/01/2021,524.1281337,529.5644904,0,329.5769598,421.3239723,265.1577736,San Rafael,1.593
osmpa000ee1,ph063022118,01/01/2021,469.3661232,913.7708588,421.040437,1542.734366,1353.212082,452.7903981,North Baluarte,0.1259
osmpa000eef,ph063022132,01/01/2021,249.8244549,554.3234824,212.8214478,600.8019163,79.37366788,1151.978301,Progreso-Lapuz,0.2741
osmpa000eeb,ph063022176,01/01/2021,790.1732422,117.2621569,0,0,1256.019169,647.9328501,Tabucan,0.3465
osmpa000ee7,ph063022110,01/01/2021,717.5101315,1087.239888,311.1554497,1524.303842,1390.822589,887.4526154,Molo Boulevard,0.2428
osmpa000ee9,ph063022052,01/01/2021,231.8280212,826.2765079,187.9578562,1230.890529,1497.619691,424.7549691,East Baluarte,0.0931
osmpa000ee8,ph063022149,01/01/2021,787.7554713,424.273085,0,861.0419191,529.7509366,899.2861729,San Antonio,0.2179
osmpa000ee6,ph063022109,01/01/2021,5520.084846,1230.878305,455.4774855,4581.195377,543.4522027,5562.226398,Mohon,0.1506
osmpa000ee5,ph063022020,01/01/2021,1041.268608,1027.610595,294.2098471,897.2856333,451.4275217,1944.744882,Monica Blumentritt,0.0626
osmpa000ee4,ph063022040,01/01/2021,195.1750031,974.0931084,0,0,111.1858056,1455.271979,Cuartero,0.2656
osmpa000ee3,ph063022152,01/01/2021,2675.599162,1871.093377,245.104988,2058.115951,1884.650383,5152.10475,Hibao-An Norte,0.88
osmpa000ee2,ph063022015,01/01/2021,0,0,0,2117.441074,984.2863481,0,Bantud,0.1261
osmpa000ef3,ph063022035,01/01/2021,166.7174689,829.8817377,194.462327,1326.374729,1590.06726,277.6230241,Cochero,0.0588
osmpa000eea,ph063022138,01/01/2021,626.0201765,957.1206438,234.0558038,469.3417567,128.7195326,1278.870348,Rizal Ibarra,0.0291
